source_id,corpus,folder_name,material_type,clean_source_path,clean_match_confidence,duplicate_group,report_file_count,report_characters,report_lines,review_status,evidence_level,notes
B0402,book,"Sprigg, June：《Shaker design》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Sprigg, June：《Shaker design》_clean.md",1.0,,14,98924,1675,machine_read_complete,V2,
B0403,book,Stanley Abercrombie：《George Nelson The Design of Modern Design》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Stanley Abercrombie：《George Nelson The Design of Modern Design》.md,1.0,,18,120661,2244,machine_read_complete,V2,
B0404,book,Stephen J. Eskilson：《Graphic Design A New History》，2007,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Stephen J. Eskilson：《Graphic Design A New History》，2007_clean.md,1.0,,19,177619,2204,machine_read_complete,V2,
B0405,book,"Steve Krug：《Dont Make Me Think, Revisited》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Steve Krug：《Dont Make Me Think, Revisited》.md",1.0,,21,93581,2003,machine_read_complete,V2,
B0406,book,Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi.md,1.0,,16,97026,1998,machine_read_complete,V2,
B0407,book,"Steven Heller, Georgette Ballance：《Graphic Design History》，2001",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Steven Heller, Georgette Ballance：《Graphic Design History》，2001_clean.md",1.0,,15,106269,1979,machine_read_complete,V2,
B0408,book,"Steven Heller, Veronique Vienne：《100 Ideas that Changed Graphic Design》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Steven Heller, Veronique Vienne：《100 Ideas that Changed Graphic Design》_clean.md",1.0,,18,115046,1612,machine_read_complete,V2,
B0409,book,Strasser：《Getting and Spending (European and American Consumer Societies in the,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Strasser：《Getting and Spending (European and American Consumer Societies in the_clean.md,1.0,,9,61746,1330,machine_read_complete,V2,
B0410,book,Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C.md,1.0,,18,109141,2690,machine_read_complete,V2,
B0411,book,teaching design -- (德)克劳斯·雷曼(Klaus Lehmann)：《设计教育 教育设计》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\teaching design -- (德)克劳斯·雷曼(Klaus Lehmann)：《设计教育 教育设计》.md,1.0,,21,62215,1971,machine_read_complete,V2,
B0412,book,"Teal Triggs：《Graphic Design History Past, Present, and Future》，2011",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Teal Triggs：《Graphic Design History Past, Present, and Future》，2011_clean.md",1.0,,13,81456,1592,machine_read_complete,V2,
B0413,book,"Terry Winograd, Fernando Flores：《Understanding Computers and Cognition》，1986",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Terry Winograd, Fernando Flores：《Understanding Computers and Cognition》，1986_clean.md",1.0,,20,101092,1968,machine_read_complete,V2,
