duplicate_group,sha256,source_id,corpus,folder_name,clean_source_path
DUP0001,1dd84d8c8638839eb9c9853d78ca7e6d8d4702f9359337a68e31021a55d36bbf,B0199,book,James：《Picture this World War I posters and visual culture》,D:\Design-history-知识库\00-book_clean\James：《Picture this World War I posters and visual culture》.md
DUP0001,1dd84d8c8638839eb9c9853d78ca7e6d8d4702f9359337a68e31021a55d36bbf,B0343,book,Pearl James：《Picture This World War I Posters and Visual Culture (Studies in War,D:\Design-history-知识库\00-book_clean\Pearl James：《Picture This World War I Posters and Visual Culture (Studies in War.md
DUP0002,2b44c006a7de90856d202fea85409feb6856c6bec94b2fde2a585fa7bb8d8763,B0046,book,Bill Moggridge：《Designing Interactions》，2007,D:\Design-history-知识库\00-book_clean\Bill Moggridge：《Designing Interactions》，2007.md
DUP0002,2b44c006a7de90856d202fea85409feb6856c6bec94b2fde2a585fa7bb8d8763,B0116,book,Designing Interactions,D:\Design-history-知识库\00-book_clean\Designing Interactions.md
DUP0003,c926e18db3aa257fca08da5844ec6efd1b6468cc019515c468b6aa0aa54f8a82,P0050,paper,ONeill：《The Transformer Principles of Making Isotype Charts by Marie Neurath and,D:\Design-history-知识库\00-paper_clean\ONeill：《The Transformer Principles of Making Isotype Charts by Marie Neurath and_clean.md
DUP0003,c926e18db3aa257fca08da5844ec6efd1b6468cc019515c468b6aa0aa54f8a82,P0068,paper,"The Transformer_ Principles of Making Isotype -- O'Neill, Jesse -- Design Issues","D:\Design-history-知识库\00-paper_clean\The Transformer_ Principles of Making Isotype -- O'Neill, Jesse -- Design Issues_clean.md"
